,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
81,81,0.994298493943508,0.96701379295967,0.442569886972078,0.775910160668137,0.805102870661897,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
82,82,1.03693125743192,1.03883469715106,0.46865802760311,0.81955316869956,0.794534481893087,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
83,83,1.07593830181369,1.10381471678297,0.492531171697808,0.862700866869047,0.783426466842132,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
84,84,1.11170333862463,1.14631835196401,0.514215695252824,0.90470197062489,0.772527128976378,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
85,85,1.1440383573454,1.16115734202966,0.534121013224045,0.945324461433984,0.761673419012125,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
86,86,1.17313046736643,1.157583874975,0.552252051066393,0.984175551128237,0.751167997652287,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
87,87,1.19927654142341,1.15997363110124,0.56857714101397,1.0209077458091,0.741307880379805,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
88,88,1.22243535908696,1.20325387388375,0.583315206703844,1.05545544599509,0.731925837379558,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
89,89,1.24280402485206,1.31464848414198,0.596521539962798,1.08768830900548,0.723091885252331,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
90,90,1.3916317158711,1.48775785909247,0.596521539962798,1.08768830900548,0.723091885252331,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
91,91,1.6161164789097,1.67818740890143,0.660041042602652,1.33547001301628,0.699346014516491,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
92,92,1.79369501131209,1.83542308118498,0.73814341535063,1.59794618969776,0.657923899134795,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
93,93,1.90662549788077,1.93842194179203,0.813664370634684,1.85553852342777,0.60873251137621,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
94,94,1.95174727935763,1.9933292476187,0.874787262731497,2.08947073595885,0.558583793660567,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
95,95,1.93790238001906,2.00626415903691,0.913682500883084,2.28465225523763,0.511898175772043,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
96,96,1.88642829870679,1.97531684322794,0.930591682755559,2.43430857014346,0.471839390284029,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
97,97,1.81540760816948,1.90561605277415,0.928163610658918,2.5380868923836,0.439277918934054,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
98,98,1.74119390238028,1.8164066387217,0.911909452447256,2.60107403892519,0.414455128096479,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
99,99,1.675494374924,1.72989782689249,0.888617296662935,2.63238792025617,0.39690584580119,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
100,100,1.62210446059431,1.66081720237249,0.862768017727659,2.64036138513278,0.3854397974666,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
101,101,1.58261983473293,1.61765431357131,0.837716201157185,2.63274143864789,0.379010154609347,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
102,102,1.5566333150775,1.60320603072014,0.816567266653252,2.61759616683217,0.376313608805369,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
103,103,1.54208645246017,1.60875056854773,0.800207530492725,2.59982573324624,0.37626950241699,0.133971022866809,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,3,1.03894401192667,0.151484148993403,0.325009822808164,Chihuahua Desert
